2026-08-30 01:45:46Z ok [cloud] 14.5s events: - | eq=9572.44 pos=1
2026-08-30 02:00:51Z RF ok: - | C2=12344.95 C3b=14179.05
2026-08-30 02:00:51Z ok [cloud] 13.8s events: - | eq=9566.85 pos=1
2026-08-30 02:15:44Z RF ok: - | C2=12344.95 C3b=14179.05
2026-08-30 02:15:44Z ok [cloud] 13.8s events: - | eq=9568.25 pos=1
2026-08-30 02:30:47Z RF ok: - | C2=12344.95 C3b=14179.05
2026-08-30 02:30:47Z ok [cloud] 15.8s events: - | eq=9571.04 pos=1
2026-08-30 02:45:44Z RF ok: - | C2=12344.95 C3b=14179.05
2026-08-30 02:45:44Z ok [cloud] 13.1s events: - | eq=9572.79 pos=1
2026-08-30 03:00:50Z RF ok: - | C2=12344.95 C3b=14179.05
2026-08-30 03:00:50Z ok [cloud] 14.2s events: - | eq=9571.04 pos=1
2026-08-30 03:15:46Z RF ok: - | C2=12344.95 C3b=14179.05
2026-08-30 03:15:46Z ok [cloud] 17s events: - | eq=9575.59 pos=1
2026-08-30 03:30:42Z RF ok: - | C2=12344.95 C3b=14179.05
2026-08-30 03:30:42Z ok [cloud] 14.1s events: - | eq=9572.79 pos=1
2026-08-30 03:45:41Z RF ok: - | C2=12344.95 C3b=14179.05
2026-08-30 03:45:41Z ok [cloud] 7.5s events: - | eq=9575.24 pos=1
2026-08-30 04:02:50Z scan 4h bar=2026-08-30 00:00: pass=0/20, near=BTC-USDT 7/6 (miss: triggerBar), btc=up fng=69 flat=off
2026-08-30 04:02:55Z RF ok: - | C2=12344.95 C3b=14179.05
2026-08-30 04:02:55Z ok [cloud] 125.8s events: - | eq=9575.24 pos=1
2026-08-30 04:15:38Z RF ok: - | C2=12344.95 C3b=14179.05
2026-08-30 04:15:38Z ok [cloud] 12.9s events: - | eq=9574.89 pos=1
2026-08-30 04:30:47Z RF ok: - | C2=12344.95 C3b=14179.05
2026-08-30 04:30:47Z ok [cloud] 16.2s events: - | eq=9574.89 pos=1
2026-08-30 04:45:48Z RF ok: - | C2=12344.95 C3b=14179.05
2026-08-30 04:45:48Z ok [cloud] 20.7s events: - | eq=9568.6 pos=1
2026-08-30 05:00:46Z RF ok: - | C2=12344.95 C3b=14179.05
2026-08-30 05:00:46Z ok [cloud] 13.9s events: - | eq=9571.74 pos=1
2026-08-30 05:15:44Z RF ok: - | C2=12344.95 C3b=14179.05
2026-08-30 05:15:44Z ok [cloud] 13.8s events: - | eq=9575.94 pos=1
2026-08-30 05:30:41Z RF ok: - | C2=12344.95 C3b=14179.05
2026-08-30 05:30:41Z ok [cloud] 14.3s events: - | eq=9577.69 pos=1
2026-08-30 05:43:43Z RF ok: - | C2=12344.95 C3b=14179.05
2026-08-30 05:43:43Z ok [cloud] 13.2s events: - | eq=9575.59 pos=1
2026-08-30 05:45:45Z RF ok: - | C2=12344.95 C3b=14179.05
2026-08-30 05:45:45Z ok [cloud] 13.2s events: - | eq=9575.94 pos=1
2026-08-30 06:00:48Z RF ok: - | C2=12344.95 C3b=14179.05
2026-08-30 06:00:48Z ok [cloud] 16s events: - | eq=9578.04 pos=1
2026-08-30 06:15:41Z RF ok: - | C2=12344.95 C3b=14179.05
2026-08-30 06:15:41Z ok [cloud] 13.3s events: - | eq=9580.49 pos=1
2026-08-30 06:30:47Z RF ok: - | C2=12344.95 C3b=14179.05
2026-08-30 06:30:47Z ok [cloud] 16.2s events: - | eq=9585.38 pos=1
2026-08-30 06:45:54Z RF ok: - | C2=12344.95 C3b=14179.05
2026-08-30 06:45:54Z ok [cloud] 15.4s events: - | eq=9588.18 pos=1
2026-08-30 07:00:52Z RF ok: - | C2=12344.95 C3b=14179.05
2026-08-30 07:00:52Z ok [cloud] 13.1s events: - | eq=9592.73 pos=1
2026-08-30 07:15:45Z RF ok: - | C2=12345.27 C3b=14179.59
2026-08-30 07:15:45Z ok [cloud] 14.7s events: - | eq=9588.53 pos=1
2026-08-30 07:30:44Z RF ok: - | C2=12345.27 C3b=14179.59
2026-08-30 07:30:44Z ok [cloud] 14.5s events: - | eq=9587.48 pos=1
2026-08-30 07:45:52Z RF ok: - | C2=12345.27 C3b=14179.59
2026-08-30 07:45:52Z ok [cloud] 14.5s events: - | eq=9587.48 pos=1
2026-08-30 08:02:47Z scan 4h bar=2026-08-30 04:00: pass=0/20, near=BTC-USDT 7/6 (miss: triggerBar), btc=up fng=69 flat=off
2026-08-30 08:02:51Z RF ok: - | C2=12345.27 C3b=14179.59
2026-08-30 08:02:51Z ok [cloud] 122.6s events: - | eq=9588.18 pos=1
2026-08-30 08:15:55Z RF ok: - | C2=12363.99 C3b=14212.17
2026-08-30 08:15:55Z ok [cloud] 14s events: - | eq=9586.9 pos=1
2026-08-30 08:30:43Z RF ok: - | C2=12363.99 C3b=14212.17
2026-08-30 08:30:43Z ok [cloud] 14s events: - | eq=9588.65 pos=1
2026-08-30 08:45:53Z RF ok: - | C2=12363.99 C3b=14212.17
2026-08-30 08:45:53Z ok [cloud] 16.9s events: - | eq=9580.61 pos=1
2026-08-30 09:00:42Z RF ok: - | C2=12363.99 C3b=14212.17
2026-08-30 09:00:42Z ok [cloud] 13.7s events: - | eq=9584.45 pos=1
2026-08-30 09:15:54Z RF ok: - | C2=12354.49 C3b=14195.19
